Hata_Turu,Hafta,Kok_Neden_Kategorisi
Olcu Hatasi,8,Makine
Montaj Hatasi,8,Insan
Yuzey Cizigi,3,Malzeme
Montaj Hatasi,3,Insan
Diger,8,Cevre
Yuzey Cizigi,6,Malzeme
Yuzey Cizigi,4,Malzeme
Olcu Hatasi,5,Makine
Olcu Hatasi,4,Makine
Yuzey Cizigi,6,Malzeme
Montaj Hatasi,7,Insan
Montaj Hatasi,6,Insan
Olcu Hatasi,8,Makine
Olcu Hatasi,2,Makine
Olcu Hatasi,6,Makine
Renk Farkliligi,8,Malzeme
Olcu Hatasi,2,Makine
Yuzey Cizigi,5,Malzeme
Etiket Hatasi,6,Metod
Olcu Hatasi,4,Makine
Yuzey Cizigi,8,Malzeme
Etiket Hatasi,5,Metod
Olcu Hatasi,5,Makine
Yuzey Cizigi,8,Malzeme
Renk Farkliligi,1,Malzeme
Olcu Hatasi,8,Makine
Yuzey Cizigi,2,Malzeme
Montaj Hatasi,4,Insan
Yuzey Cizigi,5,Malzeme
Yuzey Cizigi,5,Malzeme
Olcu Hatasi,1,Makine
Yuzey Cizigi,4,Malzeme
Olcu Hatasi,4,Makine
Yuzey Cizigi,8,Malzeme
Olcu Hatasi,8,Makine
Renk Farkliligi,6,Malzeme
Montaj Hatasi,8,Insan
Olcu Hatasi,8,Makine
Yuzey Cizigi,4,Malzeme
Olcu Hatasi,2,Makine
Yuzey Cizigi,6,Malzeme
Olcu Hatasi,4,Makine
Yuzey Cizigi,1,Malzeme
Olcu Hatasi,8,Makine
Yuzey Cizigi,8,Malzeme
Montaj Hatasi,6,Insan
Yuzey Cizigi,6,Malzeme
Renk Farkliligi,7,Malzeme
Olcu Hatasi,8,Makine
Montaj Hatasi,5,Insan
Yuzey Cizigi,6,Malzeme
Yuzey Cizigi,3,Malzeme
Yuzey Cizigi,3,Malzeme
Yuzey Cizigi,6,Malzeme
Yuzey Cizigi,3,Malzeme
Olcu Hatasi,1,Makine
Olcu Hatasi,4,Makine
Montaj Hatasi,7,Insan
Yuzey Cizigi,4,Malzeme
Montaj Hatasi,8,Insan
Etiket Hatasi,7,Metod
Montaj Hatasi,7,Insan
Olcu Hatasi,8,Makine
Olcu Hatasi,1,Makine
Yuzey Cizigi,3,Malzeme
Olcu Hatasi,8,Makine
Etiket Hatasi,8,Metod
Etiket Hatasi,1,Metod
Renk Farkliligi,7,Malzeme
Yuzey Cizigi,1,Malzeme
Renk Farkliligi,2,Malzeme
Olcu Hatasi,2,Makine
Olcu Hatasi,4,Makine
Yuzey Cizigi,5,Malzeme
Montaj Hatasi,8,Insan
Yuzey Cizigi,5,Malzeme
Olcu Hatasi,2,Makine
Olcu Hatasi,4,Makine
Olcu Hatasi,1,Makine
Olcu Hatasi,1,Makine
Olcu Hatasi,5,Makine
Yuzey Cizigi,6,Malzeme
Yuzey Cizigi,3,Malzeme
Montaj Hatasi,4,Insan
Montaj Hatasi,2,Insan
Yuzey Cizigi,7,Malzeme
Yuzey Cizigi,5,Malzeme
Montaj Hatasi,2,Insan
Renk Farkliligi,5,Malzeme
Montaj Hatasi,3,Insan
Montaj Hatasi,4,Insan
Etiket Hatasi,2,Metod
Olcu Hatasi,7,Makine
Renk Farkliligi,4,Malzeme
Olcu Hatasi,8,Makine
Yuzey Cizigi,5,Malzeme
Montaj Hatasi,2,Insan
Montaj Hatasi,7,Insan
Olcu Hatasi,7,Makine
Yuzey Cizigi,8,Malzeme
Olcu Hatasi,2,Makine
Olcu Hatasi,7,Makine
Montaj Hatasi,8,Insan
Yuzey Cizigi,4,Malzeme
Yuzey Cizigi,5,Malzeme
Montaj Hatasi,6,Insan
Renk Farkliligi,3,Malzeme
Montaj Hatasi,8,Insan
Olcu Hatasi,7,Makine
Yuzey Cizigi,8,Malzeme
Yuzey Cizigi,5,Malzeme
Olcu Hatasi,6,Makine
Yuzey Cizigi,3,Malzeme
Yuzey Cizigi,4,Malzeme
Renk Farkliligi,7,Malzeme
Etiket Hatasi,8,Metod
Olcu Hatasi,2,Makine
Olcu Hatasi,1,Makine
Yuzey Cizigi,1,Malzeme
Olcu Hatasi,5,Makine
Olcu Hatasi,7,Makine
Yuzey Cizigi,3,Malzeme
Olcu Hatasi,5,Makine
Montaj Hatasi,6,Insan
Renk Farkliligi,8,Malzeme
Olcu Hatasi,2,Makine
Yuzey Cizigi,1,Malzeme
Montaj Hatasi,6,Insan
Diger,4,Cevre
Olcu Hatasi,4,Makine
Olcu Hatasi,7,Makine
Renk Farkliligi,7,Malzeme
Renk Farkliligi,2,Malzeme
Olcu Hatasi,6,Makine
Yuzey Cizigi,7,Malzeme
Montaj Hatasi,8,Insan
Renk Farkliligi,1,Malzeme
Olcu Hatasi,7,Makine
Yuzey Cizigi,1,Malzeme
Montaj Hatasi,7,Insan
Yuzey Cizigi,6,Malzeme
Olcu Hatasi,8,Makine
Olcu Hatasi,6,Makine
Olcu Hatasi,1,Makine
Montaj Hatasi,7,Insan
Olcu Hatasi,3,Makine
Olcu Hatasi,8,Makine
Olcu Hatasi,1,Makine
